country,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
Papua New Guinea,0.5141167,-0.5548033,-0.37464967,0.9822714,-0.14668167,-0.207781,-0.18682332,-0.055836666,0.02144433,-0.26044333,0.34774998,-0.037786003,0.78004664,-0.12962334,0.04353066,0.19019331,0.24228667,0.40528598,-0.63719,0.64741665,-0.16000332,0.40265,0.10713234,0.057605337,0.16172667,-1.0428666,0.6436567,-0.35600433,-0.68917674,0.18045835,2.2758334,-0.126361,-0.71085334,-0.14489,0.13533333,0.09871667,-0.52298665,-0.69161767,-0.28181002,-0.52812666,-0.5280733,0.63016504,0.35898232,-0.82586336,-0.33205602,0.7737734,-0.20135666,-0.025787324,-0.035013337,-0.75573
Portugal,0.6456,0.0049791,-0.67766,0.401,-0.75438,-0.82693,-0.23235,0.47536,-0.7391,0.38242,1.2815,0.20652,-0.010509,-0.88947,0.97918,-0.24879,-0.1911,-0.77615,-0.37822,0.19739,-1.0084,-0.40683,-0.47939,0.5094,0.18521,-0.79979,0.89761,-0.015352,-0.67984,0.4543,2.2591,0.92831,-0.52315,0.20742,-0.2015,-0.21062,-0.31176,0.31364,-0.43091,-0.79237,0.059534,0.34345,1.23,-1.3334,-1.0515,0.82561,-0.28397,-0.30602,1.0047,-1.3454
Azerbaijan,-0.61052,0.4156,0.036808,0.95578,-0.18122,0.078658,0.23312,0.93878,-0.066575,0.081547,1.0105,-1.1798,0.59793,-0.1938,0.0015989,0.50307,0.71694,0.43933,0.54428,1.6715,0.064466,-0.75966,0.54333,0.44842,-0.20378,-1.2921,0.10174,0.35811,0.12479,0.16222,1.2854,0.14713,-0.78834,0.24085,-0.5489,0.19907,-0.88117,0.93919,-0.14126,0.87833,-0.011964,0.1851,0.21347,-1.2712,-1.1444,0.7471,-0.97183,1.2198,-0.29333,-1.7772
Greece,0.58525,0.41562,-0.027563,-0.054355,-0.51295,0.31036,0.22298,0.28168,-1.3409,-0.17096,0.87762,0.11607,0.20055,0.010787,0.87665,0.66142,0.34807,-0.17357,-0.61898,0.89793,0.23915,-0.71939,-1.0643,0.1714,0.62876,-1.491,0.47072,-0.091562,-0.72593,0.058761,2.1492,1.032,0.15673,0.20119,-0.46821,0.10584,-0.15948,-0.48352,-0.60236,-0.43635,-0.40819,-0.096337,1.4404,-0.92939,-0.27673,0.95362,-0.12789,0.98709,0.58536,-1.711
Hungary,-0.021483,0.13682,-0.2768,0.19905,-0.31521,1.0067,0.49215,0.90384,-1.1265,-0.74805,1.1458,-0.50949,0.58527,-0.5568,1.1577,0.49947,0.78056,-0.17668,-0.31314,0.74884,0.48192,-1.4355,-0.777,0.35739,0.8932,-1.0255,0.23875,-0.86594,-0.39995,-0.041227,1.6365,1.3103,-0.035055,0.3094,-1.1051,0.16947,0.00315,0.56715,-0.092167,0.18836,0.058087,0.33141,0.90904,-1.8067,-0.60006,0.70045,-0.65737,-0.034144,0.11556,-1.0432
Togo,0.19529,-0.52502,-0.71771,0.72135,-0.29051,-0.1874,0.51069,0.58006,-0.041087,-0.30004,1.0944,-0.37918,-0.21529,-0.95325,0.35541,0.55267,0.24563,-0.39839,0.070185,0.07525,-1.082,0.44102,0.26514,0.55158,-0.022927,-0.3351,0.85566,-0.22974,-0.8948,0.59545,0.60863,1.0718,-1.502,0.48063,0.68638,-0.086186,-0.35644,-0.33286,-0.22102,0.13718,-0.28212,1.1303,-0.071038,-1.5507,-0.69185,1.3221,0.057204,0.11625,0.12468,-1.6229
Israel,0.062029,0.53371,0.54099,-0.53311,0.47668,0.46988,0.021711,0.68731,-0.51518,-0.22619,-0.071631,-1.1262,-0.55618,0.19939,-0.094747,1.3724,1.2533,-1.1202,0.394,1.5422,0.63093,0.56363,-0.30163,-0.31444,-0.088435,-2.0561,0.43319,0.032101,0.75979,-0.00098003,2.899,-0.10687,-0.91409,0.06818,-0.6215,-0.043759,0.75295,-0.79991,-1.0516,0.93283,0.059276,-0.24426,0.38394,-1.0952,0.7231,-0.26365,-0.93865,1.5106,-0.96647,-0.19816
Austria,0.68244,0.52086,-0.24474,0.13063,-0.18005,1.1871,0.63095,0.86369,-0.63862,-1.0327,0.84655,-1.1607,-0.93247,-0.21312,1.184,0.43035,0.71449,-0.89772,-0.73869,0.36402,0.53176,-1.076,-0.6377,1.0677,0.14867,-1.4191,-0.27277,-0.72567,-1.0916,0.31745,1.3551,0.80775,0.28205,0.42085,-1.0809,-1.023,0.083998,1.455,0.14616,0.65347,0.24415,0.20305,1.706,-0.94448,-0.12588,0.54781,-0.54201,-0.45132,-0.16022,-0.56454
Belarus,-0.94421,1.0786,0.64533,0.61673,-0.51693,0.44311,1.2423,1.1673,-0.87801,0.40447,1.0488,-0.885,0.053881,0.64023,0.5308,0.086933,0.4759,-0.39187,0.56812,0.69614,0.17011,-0.84547,0.046456,0.23875,-0.006793,-1.3982,1.0796,0.12269,0.41629,0.033562,1.4672,0.65303,-0.24038,-0.015431,-1.5081,-0.095545,0.12897,1.0379,-0.3988,0.4478,0.46349,0.31522,1.611,-1.5023,-0.40804,0.57424,-1.2029,0.23019,-0.25728,-1.0101
Switzerland,0.79869,0.33264,-0.91059,0.45683,-0.2667,0.70403,-0.41156,0.50774,-0.1844,-0.42769,1.1319,-0.96273,-0.79635,-0.10553,1.5255,0.13742,0.57205,-1.1546,-0.46592,0.61952,0.10267,-0.42356,-0.58459,1.0209,-0.63405,-1.1638,0.28353,-0.035803,-1.0052,-0.39756,1.6263,0.24798,0.11435,0.39505,-0.8008,-1.129,-0.15443,1.1941,0.44104,-0.067363,0.46842,-0.3743,2.289,-0.46953,-0.22216,0.093308,-0.26906,-0.043028,-0.10183,-0.77533
Sierra Leone,0.33867502,-0.456113,-0.35484,0.698105,-0.2526015,-0.73826003,-0.142945,0.14908999,0.7712,-0.254455,0.28002,-0.1274125,-0.542355,-1.2646,0.501695,-0.55719,0.379215,0.220545,0.68742,-0.260075,-1.11866,1.07674,0.32715,0.0536915,-0.832105,-0.25232,0.300735,-0.2112215,-0.361745,0.557805,1.55105,-0.51744497,-1.29925,-0.0021300018,0.66437,0.375099,-1.05192,-1.03554,-0.155509,-0.29769,-0.66640496,0.86067,0.49374998,-1.5237999,-0.838625,0.137024,-0.0840895,-0.457515,-0.742665,-1.15645
Laos,0.77008,-0.12345,-0.34513,0.76403,-0.3097,-0.8306,0.45169,-0.17555,0.49738,-0.10069,0.84521,-0.21213,0.70037,-0.24167,0.28874,0.22162,0.023042,0.46191,0.54729,1.82,-0.34353,-0.28361,0.78058,0.19321,0.13623,-0.75847,0.88029,-0.25643,-0.74019,-0.20613,1.7639,0.42747,-0.56429,0.66922,-0.13649,0.14005,-0.80778,0.12714,-1.1088,0.1139,-1.0869,-0.078858,0.84265,-1.0694,0.25472,-0.30264,-0.18871,0.0067634,-0.026547,-1.5382
Hong Kong,-0.20225,0.028088503,-0.38712,1.022045,0.505795,-1.2831,0.14105,-0.737535,0.434965,-0.094342,0.45645,0.25231498,0.509235,0.243135,0.34781,0.64827,-0.49366498,-0.3419,-0.45536,0.79659,1.36665,0.047569998,-0.394785,-0.320565,0.56931496,-1.44785,0.43492502,-0.780635,-1.2124,0.069580495,3.2266002,0.85706997,0.882905,0.55975497,-0.52469504,-0.91678,0.223975,-0.099861994,-0.716435,-0.25853,-1.1406,-0.0183949,0.90378,-0.0010280004,0.46061,-0.662765,-0.79605,-0.903005,1.27675,-0.023496699
Libya,1.1175,0.11304,-0.524,-0.09392,-0.20228,-0.35676,0.33158,0.57465,1.0743,0.66838,0.6599,0.052987,-0.11815,-0.45745,0.76942,0.50643,0.15345,-0.00023733,0.23287,1.0497,0.41522,0.6527,0.69387,-0.15551,-0.48766,-1.82,0.91132,0.15216,0.18147,0.47752,1.3073,0.12154,-1.2824,0.73786,0.15086,-0.57185,-0.18338,0.55734,-0.95781,0.29027,0.3063,-0.042511,1.4244,-0.93796,0.045375,0.80186,-1.094,1.13,-0.91995,-1.3352
Kyrgyzstan,0.051077,0.51048,0.95039,1.0845,-0.16874,-0.99711,0.92271,0.62961,-0.55634,0.29186,0.86277,-1.2692,0.54312,0.31374,0.32269,0.68511,-0.20779,0.00026294,0.99215,1.3815,-0.7308,-0.36224,0.033725,0.10334,-0.48639,-0.70983,0.9202,0.17536,-0.041076,0.34851,1.0424,0.90667,-0.94521,-0.62354,-0.35662,0.42684,-0.75035,-0.44124,-0.4556,0.60492,-0.96219,0.93233,0.46075,-1.6017,-0.83255,0.40808,-0.63194,0.47221,-0.44396,-1.2843
Paraguay,0.16228,-0.024453,-1.0367,1.5974,0.049995,-0.72639,0.15881,0.70747,-0.70077,0.58038,0.84006,-0.22374,0.27374,-0.2677,0.48855,-1.0332,-0.13596,-0.45049,-0.15647,0.73796,-1.4439,-0.54844,0.3708,0.040976,-0.4604,-0.53227,1.4528,0.21522,-0.36465,-0.61799,1.4293,0.7113,-0.58308,0.0065936,-0.59557,-0.069525,-0.95016,0.70791,0.21123,-0.37657,-0.41277,0.22715,1.1477,-1.1145,-0.85407,0.89207,-0.35063,-0.005006,0.48429,-1.039
Nicaragua,0.1674,-0.060194,-0.035809,0.64935,-1.1387,-0.54355,-0.048298,0.54381,-0.063618,0.55483,0.54025,-0.44035,1.178,-0.019714,0.28724,-0.62569,-0.53824,-0.43185,0.56765,0.8192,-1.0974,0.029499,0.50677,-0.75154,-0.37259,-0.90663,0.54668,0.090045,0.20422,-0.16859,1.1335,0.17238,-1.3041,-0.39272,-0.80974,0.0096792,-1.0767,-0.011353,0.22431,0.13494,-0.75196,0.68028,1.1327,-1.3315,-1.2483,0.73685,-0.93086,-0.22116,-0.52209,-1.1006
Bulgaria,-0.03782,0.4145,0.35012,0.1042,0.089756,0.24751,0.7687,0.94968,-0.70742,-0.019418,1.6835,-0.71552,0.36007,-0.24366,0.87845,0.32715,0.39363,0.084988,0.3108,1.0749,-0.02114,-1.1334,-0.42736,0.35778,0.32541,-1.2076,0.74353,-0.29241,-0.47896,-0.084528,1.7405,0.97221,-0.22073,0.16867,-0.55209,0.41088,-0.10449,0.83773,-0.34655,0.013352,-0.024027,0.32162,1.112,-2.029,-0.73279,0.95821,-0.2499,0.74299,-0.059382,-1.6781
Serbia,-0.082613,-0.12671,0.402,0.44421,0.061098,0.23225,1.2263,1.2123,-1.2876,0.15957,1.0845,-1.8198,-0.79212,-0.32621,0.48031,0.64137,0.51567,-0.49401,1.5049,0.56216,-0.55111,-0.20864,-0.55665,1.0712,-0.93587,-1.0287,0.055744,0.3057,0.25088,-0.20528,2.2384,0.19199,-0.85477,-0.44044,-0.49902,-0.042769,-0.025799,0.038535,-0.58212,0.070392,0.12685,0.18334,0.66367,-2.1312,-1.0096,0.48833,-0.66836,0.35822,-0.379,-1.1743
El Salvador,0.366485,0.905275,-0.257305,0.79526997,-0.28148,-1.7196,-0.29930001,0.090203494,-0.222555,1.259905,0.594705,-0.644585,-0.07084,-0.2149515,0.59795,-0.82018,-0.17168,-0.17994499,0.21796,1.086445,-1.4384,0.147897,0.2923185,-0.1747505,-0.9785,-0.5214,-0.20110002,0.2960335,0.129715,-0.17772,1.7611499,-0.491315,-1.02274,-0.16394502,-0.153171,8.499622e-05,-0.098120004,0.1011285,0.658575,0.83417,-0.5013595,0.570155,0.611425,-1.5887,-0.09236501,-0.10846001,-0.927375,-0.577595,0.47531003,-0.27538
Republic of the Congo,0.56518,0.13294001,-0.30919424,0.43157253,0.09324001,0.15909323,-0.010382496,0.007364992,-0.008042559,-0.6160325,0.4788205,-0.4780375,-0.18253252,-0.50375175,0.24030262,-0.07385,0.109321244,-0.11439125,-0.197785,0.3130465,-0.39773524,-0.07464248,0.034095243,0.04882,-0.29607,-1.4648825,-0.29504248,-0.195717,-0.22750424,0.24630374,3.1524248,-0.05695225,-0.83473,-0.19624326,-0.23015946,0.07128033,-0.5383575,-0.26104525,-0.10998949,0.0405455,-0.057455502,0.34227997,0.37015826,-0.89987874,-0.58397746,0.59328,-0.27154878,-0.14260626,-0.3090445,-1.091665
Denmark,0.054976,0.10817,-0.50324,-0.019769,0.24695,1.1584,-0.26947,0.0031433,0.13016,-0.89177,1.217,-0.63195,-0.32401,-0.5139,0.87985,0.75084,0.84651,-1.0341,-0.87887,1.0882,0.49265,-0.59829,-0.048051,1.0969,0.20229,-1.2686,0.29324,-0.49264,-0.96397,-0.13358,1.4462,1.1363,0.082198,0.58515,-0.8055,-0.36287,0.44576,0.77141,-0.80198,0.08235,1.032,0.031318,0.88945,-1.2146,0.049257,0.85534,-0.5116,0.13401,-0.23439,-1.0067
Singapore,0.18102,-0.025347,-0.20911,1.2698,0.39942,-0.99438,0.13409,-0.72971,0.4287,0.076042,0.75905,0.22376,0.2026,0.12141,0.19414,0.64833,-0.6344,0.18096,-0.65794,0.84872,1.4894,0.47705,-0.15498,-0.33887,0.086858,-1.2096,1.0729,-0.43666,-1.17,0.39485,2.6697,0.74892,0.86961,0.60402,0.070814,-0.86101,-0.12432,-0.15498,-0.54342,-0.35908,-0.68323,-0.11932,1.2339,-0.28552,0.39198,-0.18383,-0.59499,-0.12132,1.1343,-0.43181
Lebanon,0.61099,0.22178,0.465,-0.65615,0.051067,-0.19286,0.17782,0.88151,-0.044085,-0.65499,-0.1737,-1.3923,-0.56698,-0.30894,-0.21569,0.79511,0.86659,-0.42232,0.20173,1.4308,-0.24653,0.9494,0.048814,0.46067,-0.67189,-1.3736,0.027747,0.27568,0.70622,1.0839,2.1865,0.20462,-1.1198,0.24473,0.12295,0.37059,-0.31139,-0.95159,-0.86855,0.61266,0.096185,0.34315,0.40441,-1.5101,-0.18955,0.44369,-0.85606,1.32,-0.83578,-0.71802
Finland,-0.42922,0.44774,-0.01432,0.70618,-0.37404,1.3434,-1.0956,0.61039,-0.18392,-0.74518,2.0268,-1.1603,-0.19356,-0.025745,0.18311,0.15701,-0.38501,-0.24808,-0.13685,0.33002,-0.26976,-0.54004,-0.39968,0.71358,0.70703,-0.49809,-0.076159,-0.14174,-0.37686,-0.45351,1.5626,1.1449,-0.17127,0.61398,-0.42494,-0.83716,-0.16907,1.1466,-0.22342,0.57148,0.17596,-0.81111,1.0172,-1.8068,-0.60366,0.78446,-0.21203,0.91585,0.032117,-1.1573
Liberia,0.54136,-0.74373,-0.23189,0.19581,0.028852,-0.49948,-0.053816,0.21406,0.8866,-0.8996,0.099487,-0.18622,-0.49311,-1.461,0.5277,-0.0050899,0.28297,0.070078,0.74896,0.21815,-0.91174,1.1891,0.32227,-0.11866,-0.58618,-0.35277,0.90465,-0.40658,0.10929,1.0912,1.3483,0.23836,-1.5349,0.10704,0.2541,0.42619,-1.3885,-0.98357,-0.37755,-0.53001,-0.44106,0.58118,0.39733,-1.632,-0.82605,1.0047,-0.3513,-0.29048,-0.96537,-1.4087
Norway,-0.19114,0.23106,-0.48758,0.21964,0.29405,1.3024,-0.6612,0.57164,0.46737,-0.94885,1.3151,-0.52541,-0.1717,-0.33167,0.6178,0.5718,1.6381,-0.29936,-0.90686,0.86231,0.82501,-0.59277,0.17933,0.67591,0.54459,-0.99754,0.055245,-0.37603,-0.43805,-0.05424,1.4531,0.72883,-0.4747,1.1558,-0.23406,-0.51622,-0.029749,0.61013,-0.11118,0.67288,0.14379,-0.29918,0.4844,-1.5894,-0.70701,0.52108,-0.59593,0.86088,-0.12518,-1.3032
Slovakia,-0.21978,-0.16603,-0.085339,0.206,-0.017665,1.0387,0.42611,0.63721,-0.8737,-0.84593,1.1034,-1.773,0.40377,0.070856,0.87029,0.69693,0.339,-0.57017,0.28458,1.2144,-0.73606,-1.8076,-0.56963,1.1518,0.072443,-0.82973,0.89899,0.15436,-0.55966,-0.78481,1.5873,1.3385,0.45336,0.021012,-1.1352,0.11131,0.056043,1.2492,-0.29628,-0.36436,0.12128,0.20048,0.89657,-1.9768,-0.23409,1.199,-0.45686,0.19381,-0.00071542,-0.56912
Palestine,-0.044958,0.39499,-0.21723,-1.0236,0.65909,-0.43851,-0.069607,0.033981,-0.2177,-1.0148,0.41336,-0.50407,-0.51706,0.28764,-0.42436,0.88434,1.244,-0.37526,0.39192,2.0299,0.51237,0.48824,0.22778,0.3192,-0.17666,-0.91965,-0.76466,-0.47997,0.36649,0.36036,1.9082,0.070612,-1.3896,0.10683,-1.0106,-0.077972,0.27246,-0.85837,-0.62585,1.2614,-0.18232,-0.96435,-0.050736,-0.78405,-0.79476,0.018975,-1.2101,0.39295,-0.65437,-0.48412
Central African Republic,-0.13719334,0.089980006,-0.4924957,0.50475335,0.22514667,-0.342545,-0.172894,-0.17994766,-0.18766399,-0.6773467,0.6278483,-0.6537,0.37041998,-0.22018234,-0.06465333,0.166848,0.13009967,0.0031160016,-0.059383344,0.46872666,-0.31662,-0.09455665,-0.28924632,0.30142,-0.23072,-1.4478499,0.28483668,-0.18507667,-0.79359,0.24885166,3.2701666,0.12735,-0.39078668,-0.238357,-0.3798733,-0.079026,-0.60659665,-0.235215,-0.39821997,-0.096949995,-0.26819333,0.4065567,0.743238,-1.21097,-0.20247333,0.9508066,-0.47647667,-0.028234333,-0.030958017,-1.0061034
Oman,0.2382,0.61079,-0.23243,1.0825,0.39206,-1.2596,0.097217,0.46552,0.78919,0.28893,0.80031,0.13312,0.43024,0.034124,-0.20408,1.0019,0.44743,-0.42644,-0.53426,1.9992,0.13003,-0.37084,1.3509,-0.17813,-0.5105,-0.82591,0.85283,0.16246,-0.11922,0.099628,1.0946,1.2769,0.044349,1.1501,0.060106,-0.10641,-0.58533,0.5343,-1.0795,0.6401,0.14623,0.14874,0.28599,-0.86057,0.0056307,0.44933,-1.0332,0.77513,-0.5488,-0.92265
Ireland,-0.2706,-0.2402,-0.88009,-0.40444,-0.011622,1.1021,-0.71965,0.51839,-0.0030454,-1.2369,0.20235,-0.036546,-0.69768,-0.98629,0.56019,0.60613,1.1449,-0.59555,-0.80208,0.32675,0.34654,-0.036589,-0.28541,1.3005,0.026286,-0.91857,0.3044,-0.6748,-0.78459,0.78328,2.3535,0.70181,0.24037,0.037098,0.17612,-0.092781,0.0065967,-0.51562,-0.39947,-0.79875,-0.009335,0.12563,-0.26138,-0.66795,-0.64793,1.2329,-0.542,0.2015,0.29772,-0.98084
New Zealand,-0.44804502,0.03371501,-0.38700953,0.31530198,-0.07214551,0.1360585,-1.2784,-0.46282986,0.112749994,-0.50974,0.099425,0.24485101,0.069520004,0.100735,0.024152499,0.34921998,0.26602998,-0.088185996,-1.113305,-0.1137895,0.57209,0.212855,-0.34512356,0.20114,0.07821502,-1.314245,0.26775998,-0.36380148,-0.56461,0.23933701,3.0892,0.186591,0.11355999,-0.21862,0.41749,-0.2868,0.14476001,-0.20671651,-0.407295,-0.839235,-0.22584,-0.0267675,0.4264835,-0.569785,-0.144834,1.2074499,-0.40047,0.095754,0.258645,-0.037855014
Mauritania,0.48284,-0.27931,-0.37306,0.90764,-0.49389,-0.51505,0.32913,0.29726,0.58715,0.51739,0.6424,-0.72295,0.18498,-0.1057,0.13746,0.61941,0.17508,-0.33052,0.1299,1.027,-0.4007,0.88466,1.1652,0.46682,-0.58102,-0.37113,0.78907,0.035196,-0.029163,1.0705,0.64222,0.36859,-1.6863,0.36701,0.51992,-0.15051,-1.0827,-0.424,-1.0757,0.37758,-0.3705,0.7285,0.74927,-1.2656,-0.75801,0.62022,-0.56852,-0.24735,0.23041,-2.0879
Costa Rica,0.383035,0.289875,-0.735155,1.48795,-0.44782,-0.68313,-0.592475,0.40573502,-0.04173465,0.532515,0.89796495,-0.23472,0.71053505,-0.21568,0.66051495,-0.84142995,-0.29944,-0.54592,-0.069699004,0.142765,-1.3227999,-0.022126999,-0.051324002,0.068493,-0.160431,-0.634265,1.2199,0.282415,-0.55836,-0.46914,1.5289,0.2970245,-0.819125,-0.305435,-0.30822998,-0.34113002,-0.62863004,0.75689,0.176719,-0.45458,-0.16932249,0.50512,1.2901,-1.20145,-0.57028,0.777105,-0.336055,-0.2175495,0.509005,-0.69114
Kuwait,0.076987,-0.10634,0.26483,0.39973,0.80754,-1.2821,0.57812,0.71644,0.77964,-0.45965,0.51944,-0.48755,0.12057,-0.098169,0.1824,1.0515,0.076189,-0.074031,-0.42397,1.5644,0.7049,0.14296,0.72488,-0.5315,-0.77209,-1.5872,0.53425,0.0022264,0.65239,0.68511,1.8365,0.61336,-0.26428,0.84636,-0.18097,-0.047729,-0.1466,0.03132,-1.0186,0.52937,0.20436,-0.13804,0.9226,-0.80032,-0.023239,0.41727,-1.3953,1.0558,-1.0629,-0.65654
Panama,0.56743,0.18493,-0.33128,1.0566,-0.65425,-0.98784,-0.54799,0.20584,0.42533,0.14075,0.71259,0.3603,0.75888,-0.11527,0.18287,-0.36164,-0.90673,-0.43694,-0.41105,0.8268,-0.50118,-0.40204,0.11172,-0.68261,-0.43978,-1.3897,1.0037,0.1448,0.37861,-0.49738,1.1961,0.27705,-1.0443,-0.22536,-0.16037,-0.44734,-0.63875,0.6685,-0.4546,0.022188,-0.44792,0.26483,1.6449,-1.0097,-1.1144,0.45903,-0.68261,-0.80521,0.015768,-0.61648
Croatia,0.17891,-0.40752,-0.043038,0.47625,-0.14171,0.013908,0.58128,0.90453,-0.8882,-0.69606,1.0277,-1.729,-0.83689,-1.2076,0.96837,0.28508,0.35819,-0.61004,0.75198,0.57405,-1.2163,-0.46473,-0.56318,0.8676,-0.76482,-0.87801,0.31141,0.051503,0.38433,-0.46045,1.9229,0.46344,-0.74,0.13063,-0.31505,0.36124,-0.14866,0.59128,-1.0077,-0.17099,0.49151,0.5279,1.02,-2.1465,-0.81584,0.50713,-0.017365,0.59254,-1.0431,-1.053
Georgia,-1.3427,0.4592,0.19281,0.71305,-0.5934,0.063595,-0.87187,0.79427,-0.28496,-1.0274,-0.3005,-1.1219,0.41312,-0.78615,-0.3023,0.34274,-0.03919,0.23077,0.10951,0.53196,-0.45369,-0.0050708,-0.30418,-0.11958,-0.13399,-2.0671,0.22732,-0.057002,0.33504,-0.53461,1.9394,-0.18969,-0.806,-0.85693,0.18234,-0.051312,-0.737,-0.042606,0.16411,0.11965,-0.33128,0.24235,0.42535,-1.1329,-0.37384,1.0152,-0.24836,0.47535,-0.95568,0.11488
Eritrea,0.95856,-0.26381,-0.56342,-0.0031179,-0.60321,0.31944,0.426,-0.29573,0.87776,-0.98176,0.57713,-0.34922,-0.29971,-1.5108,0.16483,0.73844,0.10036,-0.25613,0.70721,1.1273,-1.2096,0.56608,1.0328,0.4166,-0.30616,-1.0554,0.99353,0.51599,-0.19995,0.70786,0.92455,0.25852,-1.5866,1.1866,-0.043325,-0.36074,-0.93544,-0.45517,-1.5119,0.20262,0.3034,0.38047,0.64596,-0.86142,-0.37925,-0.10325,-0.26215,1.1982,-0.74288,-1.878
Mongolia,-0.32709,0.17414,-0.18437,1.2627,-0.2381,-0.32171,0.71653,0.37769,0.54583,-0.66184,0.85926,-0.80837,1.4846,-0.18592,-0.3385,0.73574,-0.22983,0.88576,0.41389,1.7378,0.13083,-0.4703,0.6945,-0.60043,1.0565,-0.73191,-0.17748,-0.19267,-0.30007,-0.32025,1.7494,0.49828,-0.19244,0.83145,-0.68064,0.25022,-0.83961,0.94439,-0.45204,0.45616,-1.2198,-0.23103,0.27238,-0.96236,-0.32307,0.46316,-0.52925,0.12827,-0.35751,-1.4809
Uruguay,-0.23611,0.031758,-1.0101,1.0408,-0.62919,-0.75547,-0.1614,0.5383,-0.43745,0.51092,0.91057,0.047937,0.11051,-0.05014,0.55766,-0.95499,0.42196,-0.69138,-0.1365,0.39202,-0.9861,-0.6519,0.37806,-0.084488,-0.4727,-0.27675,1.5333,0.42947,-0.39353,-0.55228,1.7916,0.14078,-0.60056,0.033476,-0.76549,-0.24569,-0.70657,0.70725,0.14833,-0.54666,-0.45226,-0.15179,1.4332,-1.4858,-0.78428,1.0251,-0.29068,0.10969,0.2023,-1.1487
Puerto Rico,-0.381135,-0.1358205,-0.7496,1.3044,-0.427535,-0.623955,-0.55479,0.639755,0.016335003,0.334924,0.70195,-0.38837,1.46755,0.071333006,0.34806502,-1.17205,-0.78948,-0.1649095,-0.64348,-0.11726101,-0.8627,-0.3801,-0.43958002,0.152733,-0.29624,-1.06495,0.27293,-0.38671,0.0887345,-0.83245003,1.3824999,0.20723,-0.861535,-1.1315501,-0.26243,-0.45612997,-0.55354,-0.18732,0.115521505,0.18699999,-1.0267999,0.80925,1.1012499,-0.83054,-1.3654001,0.23326865,-0.60257995,-1.1584,0.263205,0.0927895
Bosnia and Herzegovina,0.33819667,-0.18875666,-0.43289664,-0.24681658,0.24435668,0.3296786,0.28712332,0.26189998,-0.29063806,-0.9470134,0.52507,-0.8601733,-0.7155101,-0.6079133,0.25175667,0.3883017,0.5219397,-0.16243167,0.5324967,0.35178003,-0.22135,0.26659402,0.14601333,0.5676814,-0.7825033,-0.8070764,-0.34757665,0.09044234,0.3430197,-0.011337332,2.3880332,0.45655,-0.64847,-0.17815667,0.020827329,0.30931666,-0.38396668,0.14789332,-0.21373333,0.47517666,-0.017297665,0.30326602,0.69583327,-1.3704233,-0.80592996,0.47590336,-0.23629667,0.41212332,-0.8650233,-0.5292
Qatar,0.43004,0.85009,-0.16375,1.7514,0.4808,-1.1872,0.19296,0.62046,0.5268,0.35689,0.64501,-0.42081,-0.4999,0.34289,0.44565,1.1792,0.28463,0.14784,-0.48782,1.5341,0.49366,0.05371,1.1879,0.20801,-0.84468,-1.0652,0.74372,0.10317,-0.36471,0.55021,1.4133,0.90428,-0.46445,1.1117,0.066894,-0.32067,-0.32593,1.0573,-1.1193,0.065482,0.67807,-0.19683,0.22957,-0.48114,0.25305,0.65852,-1.1364,0.9468,-0.74194,-0.61871
Moldova,-0.38259,-0.055185,-0.072572,0.37652,-0.25396,0.55631,0.6465,1.0674,-0.83289,-0.09168,1.3114,-1.4457,0.69772,0.16086,0.2982,-0.13268,0.052592,-0.099051,0.77615,1.1997,-0.46979,-1.0753,0.39353,0.87924,-0.35846,-0.69089,0.58215,0.32663,-0.059765,-0.101,1.1704,0.988,-0.85025,0.027834,-1.2677,0.025591,-0.73861,0.35132,0.08577,0.15347,0.042176,0.037665,0.528,-1.9217,-1.3699,0.57085,-0.55464,0.66005,-0.035318,-1.1753
Namibia,0.019394,-0.73619,-0.44491,0.89101,-0.53444,-0.26834,-0.090734,0.058062,0.59545,-0.50809,0.56052,-0.45493,0.34681,-1.7127,0.16376,0.27474,0.81076,0.30297,0.28567,0.65971,-0.61503,0.34116,0.79873,0.15116,0.24025,0.0026382,1.1611,-0.1506,-0.97015,0.08719,1.1992,0.46578,-0.85664,0.63322,-0.036252,0.20249,-0.74561,0.41878,-0.68956,-0.71835,0.22255,0.18038,0.25942,-1.5375,-0.28957,1.1755,-0.4884,0.0089203,-0.17737,-1.6322
Armenia,-0.15626,0.49809,0.024961,0.62382,-0.079482,0.53491,0.35347,0.79883,-0.57264,-0.32019,0.90185,-1.0048,0.11208,-0.95002,0.47689,0.22502,0.018065,0.061433,0.85355,1.5188,-0.40844,-0.75955,-0.23846,0.26688,0.2323,-0.90693,0.14332,-0.23579,0.33378,0.034205,1.0826,0.46929,-0.66613,0.35783,-0.78036,0.3243,-0.76814,0.53815,-0.54073,0.80375,0.38856,0.1285,0.28122,-1.4498,-1.1604,1.247,-0.5359,0.94011,-1.0068,-1.7738
