country,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
Sri Lanka,0.282765,-1.11675,-0.22749999,0.75394,0.423505,-0.689775,0.19341001,-0.0567875,0.916965,-0.47508,-0.117359504,-0.120240495,-0.321405,-0.93183506,0.1363045,-0.0022905003,0.69747,0.261245,-0.553905,0.896245,-0.42808998,1.2781999,0.138044,-0.009319,0.93735504,-0.37268,1.04171,-0.955005,-1.144745,0.832435,2.73175,0.2124655,-0.412555,1.1543,0.74417996,0.93833005,0.22384,-0.82518,-0.90524,-0.515575,-0.68436,0.234835,-0.14005801,-0.64937,0.052024998,1.164545,-0.524015,0.35608,0.735695,-1.62065
Malawi,0.46634,-0.57346,-0.55297,0.62645,-0.94786,-0.374,0.40582,-0.43248,1.3252,0.27348,0.25766,-0.1924,0.93611,-1.1164,0.49822,0.2364,-0.19405,0.14958,1.0155,0.6612,-0.57687,0.36722,0.68886,0.64274,0.026254,-0.52823,1.2274,-0.25766,-1.7507,0.4381,1.3701,0.72064,-0.8791,0.56346,0.012455,0.021285,-0.47542,-0.39783,0.35402,-0.94151,-0.7008,0.88755,0.034208,-0.64276,-0.50379,1.0895,-0.50862,-0.53186,0.61775,-1.4625
Zambia,-0.17757,-0.50645,-0.22243,1.1457,-0.77488,-0.78559,0.13365,0.3069,1.3491,-0.30157,0.83809,-0.12033,0.20056,-1.9045,0.74155,0.13686,0.50576,0.30668,1.0524,0.42794,-0.10982,-0.021512,0.59407,0.30597,0.37278,-0.29242,1.3158,-0.61571,-1.0199,0.68814,1.8967,0.61503,-0.44664,0.61566,-0.3682,0.14502,-0.48721,0.12132,0.25178,-0.15659,-0.20379,0.4569,0.028122,-1.0349,-0.31873,0.73584,-0.78921,0.40851,0.44637,-1.4546
Kazakhstan,-0.065779,1.0603,0.57762,2.0893,0.1261,-0.19819,0.3533,0.67546,-0.031148,0.13549,1.3371,-0.79659,0.55212,0.88363,0.046125,0.44741,-0.0051862,0.32572,-0.16924,1.3402,-0.081656,-0.71968,0.52118,-0.13891,0.44376,-1.2128,0.99193,0.03051,0.10906,-0.078068,1.1015,0.66691,-0.79133,0.098042,-0.67889,-0.27685,-1.0401,1.5999,-0.66095,0.59714,-0.046777,-0.13762,1.1731,-1.3276,-0.50121,0.57019,-0.68971,0.47721,-0.11119,-1.2761
Chad,0.22774,-0.23735,0.0837,0.6631,-0.083313,0.36334,-0.87094,0.66102,0.45916,-0.61721,0.17643,0.21562,-0.6279,-1.2591,0.53004,-0.17452,0.78299,-0.43618,0.2033,0.51239,-1.5731,0.58559,0.58009,0.31806,-0.24129,-0.49205,1.5368,-0.047268,0.20218,-0.68494,1.332,0.13886,-0.49475,0.34816,0.1758,0.44238,-0.79047,-0.93544,-0.073833,0.29935,0.055496,1.4497,-0.34884,-1.4731,-0.73016,0.23979,-0.14915,0.37741,-1.4316,-0.48522
Chile,0.33182,-0.16513,-0.54672,1.3101,-0.21218,-1.0186,0.37209,0.74408,-0.44245,0.91286,1.1364,-0.14136,0.91118,0.13516,0.50375,-0.58401,-0.28697,-0.28799,-0.099173,0.34281,-0.62559,-0.6669,0.55828,-0.31568,-0.70793,-0.62918,0.62175,0.17831,-0.15781,-0.13469,2.2996,-0.14002,-0.5948,-0.053659,-0.55316,-0.49428,-0.91637,0.47785,0.73395,-0.33678,-0.38148,0.33915,1.4632,-1.6686,-0.45462,1.1551,-0.45897,-0.31092,-0.08207,-0.52606
Romania,0.1232,0.36199,0.13819,0.1923,-0.93796,0.70297,0.57263,0.91297,-0.69626,-0.054828,1.2394,-0.87465,0.91791,-0.28632,0.71912,-0.23525,0.075219,-0.14894,0.41694,1.0402,-0.36619,-1.3843,-0.06398,0.38334,0.50793,-1.3401,0.81819,-0.084923,-0.83609,-0.68585,1.8433,0.8701,-0.13934,-0.2725,-1.367,0.22925,-0.041979,0.80299,0.038621,-0.38195,0.0072519,0.20913,1.0864,-2.0325,-0.46558,0.52418,-0.40482,0.10702,0.021184,-1.1139
Somalia,1.6923,-1.2384,0.023302,-0.28446,-0.11072,-1.0026,0.11622,0.060313,1.3184,-0.75777,0.17353,-0.19423,-0.63212,-0.44464,-0.052394,0.25147,0.42061,-0.24304,0.25432,1.0501,-0.95474,1.1957,1.0417,0.60341,-0.40913,-0.7663,0.19391,-0.26215,0.39542,1.7675,1.8788,0.26766,-1.1437,0.42057,0.42654,0.48236,-1.35,-0.98544,-0.81176,0.23537,-0.45664,1.0159,0.66635,-1.1092,-0.6567,0.78168,-0.57747,0.21721,-0.26422,-1.0247
Senegal,0.29969,-0.31439,-1.2383,0.73831,-0.24653,-0.48369,-0.0040698,0.30284,0.78424,0.097059,1.1031,-0.42051,0.11179,-1.1561,0.41021,-0.25947,0.27889,-0.59215,-0.15061,0.24424,-1.2295,0.50702,0.72863,0.55831,0.18439,-0.42442,0.84751,0.088667,-0.76831,-0.049706,1.0107,1.3925,-1.0833,0.48226,0.23325,-0.19641,-0.87,0.47918,-0.53717,0.17021,0.0059403,1.0617,0.53829,-1.6235,-0.57928,0.71837,-0.12864,-0.028876,0.22649,-1.6672
Guatemala,0.4832,0.059539,-0.49922,1.0602,-0.53573,-0.55772,-0.20081,0.40509,0.12715,0.19147,0.31567,-0.98392,0.67455,-0.38114,0.85951,-0.86557,-0.54393,-0.20637,0.39537,0.66231,-1.1747,0.18167,0.087974,0.074994,-0.25192,-0.73809,0.6165,0.077126,-0.076929,-0.41804,1.168,0.2817,-1.2357,-0.59877,-0.29372,0.093641,-0.81566,0.10088,0.22803,0.2606,-0.99728,0.53041,1.3326,-1.2191,-0.8208,0.93029,-0.54987,-0.091919,0.14569,-1.2455
